,Games,Wins,Losses,Draws,Goals For,Goals Against,Goal Difference,Points
Man City,38.0,32.0,4.0,2.0,95.0,23.0,72.0,98.0
Liverpool,38.0,30.0,1.0,7.0,89.0,22.0,67.0,97.0
Chelsea,38.0,21.0,8.0,9.0,63.0,39.0,24.0,72.0
Tottenham,38.0,23.0,13.0,2.0,67.0,39.0,28.0,71.0
Arsenal,38.0,21.0,10.0,7.0,73.0,51.0,22.0,70.0
Man United,38.0,19.0,10.0,9.0,65.0,54.0,11.0,66.0
Wolves,38.0,16.0,13.0,9.0,47.0,46.0,1.0,57.0
Everton,38.0,15.0,14.0,9.0,54.0,46.0,8.0,54.0
West Ham,38.0,15.0,16.0,7.0,52.0,55.0,-3.0,52.0
Leicester,38.0,15.0,16.0,7.0,51.0,48.0,3.0,52.0
Watford,38.0,14.0,16.0,8.0,52.0,59.0,-7.0,50.0
Crystal Palace,38.0,14.0,17.0,7.0,51.0,53.0,-2.0,49.0
Bournemouth,38.0,13.0,19.0,6.0,56.0,70.0,-14.0,45.0
Newcastle,38.0,12.0,17.0,9.0,42.0,48.0,-6.0,45.0
Burnley,38.0,11.0,20.0,7.0,45.0,68.0,-23.0,40.0
Southampton,38.0,9.0,17.0,12.0,45.0,65.0,-20.0,39.0
Brighton,38.0,9.0,20.0,9.0,35.0,60.0,-25.0,36.0
Cardiff,38.0,10.0,24.0,4.0,34.0,69.0,-35.0,34.0
Fulham,38.0,7.0,26.0,5.0,34.0,81.0,-47.0,26.0
Huddersfield,38.0,3.0,28.0,7.0,22.0,76.0,-54.0,16.0
