,Games,Wins,Losses,Draws,Goals For,Goals Against,Goal Difference,Points
Man United,38.0,28.0,5.0,5.0,86.0,43.0,43.0,89.0
Man City,38.0,23.0,6.0,9.0,66.0,34.0,32.0,78.0
Chelsea,38.0,22.0,7.0,9.0,75.0,39.0,36.0,75.0
Arsenal,38.0,21.0,7.0,10.0,72.0,37.0,35.0,73.0
Tottenham,38.0,21.0,8.0,9.0,66.0,46.0,20.0,72.0
Everton,38.0,16.0,7.0,15.0,55.0,40.0,15.0,63.0
Liverpool,38.0,16.0,9.0,13.0,71.0,43.0,28.0,61.0
West Brom,38.0,14.0,17.0,7.0,53.0,57.0,-4.0,49.0
West Ham,38.0,12.0,16.0,10.0,45.0,53.0,-8.0,46.0
Swansea,38.0,11.0,14.0,13.0,47.0,51.0,-4.0,46.0
Norwich,38.0,10.0,14.0,14.0,41.0,58.0,-17.0,44.0
Fulham,38.0,11.0,17.0,10.0,50.0,60.0,-10.0,43.0
Stoke,38.0,9.0,14.0,15.0,34.0,45.0,-11.0,42.0
Aston Villa,38.0,10.0,17.0,11.0,47.0,69.0,-22.0,41.0
Southampton,38.0,9.0,15.0,14.0,49.0,60.0,-11.0,41.0
Newcastle,38.0,11.0,19.0,8.0,45.0,68.0,-23.0,41.0
Sunderland,38.0,9.0,17.0,12.0,41.0,54.0,-13.0,39.0
Wigan,38.0,9.0,20.0,9.0,47.0,73.0,-26.0,36.0
Reading,38.0,6.0,22.0,10.0,43.0,73.0,-30.0,28.0
QPR,38.0,4.0,21.0,13.0,30.0,60.0,-30.0,25.0
