,Games,Wins,Losses,Draws,Goals For,Goals Against,Goal Difference,Points
Chelsea,38.0,27.0,6.0,5.0,103.0,32.0,71.0,86.0
Man United,38.0,27.0,7.0,4.0,86.0,28.0,58.0,85.0
Arsenal,38.0,23.0,9.0,6.0,83.0,41.0,42.0,75.0
Tottenham,38.0,21.0,10.0,7.0,67.0,41.0,26.0,70.0
Man City,38.0,18.0,7.0,13.0,73.0,45.0,28.0,67.0
Aston Villa,38.0,17.0,8.0,13.0,52.0,39.0,13.0,64.0
Liverpool,38.0,18.0,11.0,9.0,61.0,35.0,26.0,63.0
Everton,38.0,16.0,9.0,13.0,60.0,49.0,11.0,61.0
Blackburn,38.0,13.0,14.0,11.0,41.0,55.0,-14.0,50.0
Birmingham,38.0,13.0,14.0,11.0,38.0,47.0,-9.0,50.0
Stoke,38.0,11.0,13.0,14.0,34.0,48.0,-14.0,47.0
Fulham,38.0,12.0,16.0,10.0,39.0,46.0,-7.0,46.0
Sunderland,38.0,11.0,16.0,11.0,48.0,56.0,-8.0,44.0
Bolton,38.0,10.0,19.0,9.0,42.0,67.0,-25.0,39.0
Wolves,38.0,9.0,18.0,11.0,32.0,56.0,-24.0,38.0
Wigan,38.0,9.0,20.0,9.0,37.0,79.0,-42.0,36.0
West Ham,38.0,8.0,19.0,11.0,47.0,66.0,-19.0,35.0
Hull,38.0,6.0,20.0,12.0,34.0,75.0,-41.0,30.0
Burnley,38.0,8.0,24.0,6.0,42.0,82.0,-40.0,30.0
Portsmouth,38.0,7.0,24.0,7.0,34.0,66.0,-32.0,28.0
