,Games,Wins,Losses,Draws,Goals For,Goals Against,Goal Difference,Points
Leicester,38.0,23.0,3.0,12.0,68.0,36.0,32.0,81.0
Arsenal,38.0,20.0,7.0,11.0,65.0,36.0,29.0,71.0
Tottenham,38.0,19.0,6.0,13.0,69.0,35.0,34.0,70.0
Man United,38.0,19.0,10.0,9.0,49.0,35.0,14.0,66.0
Man City,38.0,19.0,10.0,9.0,71.0,41.0,30.0,66.0
Southampton,38.0,18.0,11.0,9.0,59.0,41.0,18.0,63.0
West Ham,38.0,16.0,8.0,14.0,65.0,51.0,14.0,62.0
Liverpool,38.0,16.0,10.0,12.0,63.0,50.0,13.0,60.0
Stoke,38.0,14.0,15.0,9.0,41.0,55.0,-14.0,51.0
Chelsea,38.0,12.0,12.0,14.0,59.0,53.0,6.0,50.0
Everton,38.0,11.0,13.0,14.0,59.0,55.0,4.0,47.0
Swansea,38.0,12.0,15.0,11.0,42.0,52.0,-10.0,47.0
Watford,38.0,12.0,17.0,9.0,40.0,50.0,-10.0,45.0
West Brom,38.0,10.0,15.0,13.0,34.0,48.0,-14.0,43.0
Crystal Palace,38.0,11.0,18.0,9.0,39.0,51.0,-12.0,42.0
Bournemouth,38.0,11.0,18.0,9.0,45.0,67.0,-22.0,42.0
Sunderland,38.0,9.0,17.0,12.0,48.0,62.0,-14.0,39.0
Newcastle,38.0,9.0,19.0,10.0,44.0,65.0,-21.0,37.0
Norwich,38.0,9.0,22.0,7.0,39.0,67.0,-28.0,34.0
Aston Villa,38.0,3.0,27.0,8.0,27.0,76.0,-49.0,17.0
