,Games,Wins,Losses,Draws,Goals For,Goals Against,Goal Difference,Points
Man City,38.0,27.0,6.0,5.0,102.0,37.0,65.0,86.0
Liverpool,38.0,26.0,6.0,6.0,101.0,50.0,51.0,84.0
Chelsea,38.0,25.0,6.0,7.0,71.0,27.0,44.0,82.0
Arsenal,38.0,24.0,7.0,7.0,68.0,41.0,27.0,79.0
Everton,38.0,21.0,8.0,9.0,61.0,39.0,22.0,72.0
Tottenham,38.0,21.0,11.0,6.0,55.0,51.0,4.0,69.0
Man United,38.0,19.0,12.0,7.0,64.0,43.0,21.0,64.0
Southampton,38.0,15.0,12.0,11.0,54.0,46.0,8.0,56.0
Stoke,38.0,13.0,14.0,11.0,45.0,52.0,-7.0,50.0
Newcastle,38.0,15.0,19.0,4.0,43.0,59.0,-16.0,49.0
Crystal Palace,38.0,13.0,19.0,6.0,33.0,48.0,-15.0,45.0
Swansea,38.0,11.0,18.0,9.0,54.0,54.0,0.0,42.0
West Ham,38.0,11.0,20.0,7.0,40.0,51.0,-11.0,40.0
Aston Villa,38.0,10.0,20.0,8.0,39.0,61.0,-22.0,38.0
Sunderland,38.0,10.0,20.0,8.0,41.0,60.0,-19.0,38.0
Hull,38.0,10.0,21.0,7.0,38.0,53.0,-15.0,37.0
West Brom,38.0,7.0,16.0,15.0,43.0,59.0,-16.0,36.0
Norwich,38.0,8.0,21.0,9.0,28.0,62.0,-34.0,33.0
Fulham,38.0,9.0,24.0,5.0,40.0,85.0,-45.0,32.0
Cardiff,38.0,7.0,22.0,9.0,32.0,74.0,-42.0,30.0
