,Games,Wins,Losses,Draws,Goals For,Goals Against,Goal Difference,Points
Man United,38.0,23.0,4.0,11.0,78.0,37.0,41.0,80.0
Man City,38.0,21.0,9.0,8.0,60.0,33.0,27.0,71.0
Chelsea,38.0,21.0,9.0,8.0,69.0,33.0,36.0,71.0
Arsenal,38.0,19.0,8.0,11.0,72.0,43.0,29.0,68.0
Tottenham,38.0,16.0,8.0,14.0,55.0,46.0,9.0,62.0
Liverpool,38.0,17.0,14.0,7.0,59.0,44.0,15.0,58.0
Everton,38.0,13.0,10.0,15.0,51.0,45.0,6.0,54.0
Fulham,38.0,11.0,11.0,16.0,49.0,43.0,6.0,49.0
Aston Villa,38.0,12.0,14.0,12.0,48.0,59.0,-11.0,48.0
Sunderland,38.0,12.0,15.0,11.0,45.0,56.0,-11.0,47.0
West Brom,38.0,12.0,15.0,11.0,56.0,71.0,-15.0,47.0
Bolton,38.0,12.0,16.0,10.0,52.0,56.0,-4.0,46.0
Newcastle,38.0,11.0,14.0,13.0,56.0,57.0,-1.0,46.0
Stoke,38.0,13.0,18.0,7.0,46.0,48.0,-2.0,46.0
Blackburn,38.0,11.0,17.0,10.0,46.0,59.0,-13.0,43.0
Wigan,38.0,9.0,14.0,15.0,40.0,61.0,-21.0,42.0
Wolves,38.0,11.0,20.0,7.0,46.0,66.0,-20.0,40.0
Blackpool,38.0,10.0,19.0,9.0,55.0,78.0,-23.0,39.0
Birmingham,38.0,8.0,15.0,15.0,37.0,58.0,-21.0,39.0
West Ham,38.0,7.0,19.0,12.0,43.0,70.0,-27.0,33.0
